algorithm,inputChannels,outputQuantity,datapoint_ID,fold_ID,trueValue_normalised,trueValue_denormalised,trueValue_denormalised_log10,predictedValue_normalised,predictedValue_denormalised,predictedValue_denormalised_log10
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,38,38,1.327364274722299,0.8705201967670654,-0.06022114844930723,1.766263902812749e-16,0.4959586012766929,-0.30455457348450393
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,39,39,0.4150201832880305,0.6165616745797334,-0.21002347447788322,6.090806871207457e-17,0.4985238388745447,-0.3023140693600913
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,40,40,-1.4063380337926839,0.10724200965790487,-0.9696350561665843,-2.5165756123211014e-16,0.5036684819545632,-0.29785522512300144
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,41,41,0.7379937896180685,0.7071163549571652,-0.15050911780408827,1.00508826850535e-16,0.4976091451333586,-0.30311164671663965
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,42,42,-1.7202121760868916,0.021943435650307097,-1.658695374611929,2.279321512677405e-16,0.5045300837122157,-0.29711293289449897
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,43,43,0.6018309625407653,0.6690016415473653,-0.1745728165907899,1.0015837766346898e-16,0.4979941422385081,-0.30277576569099396
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,44,44,-0.19475211378355264,0.44483095924396715,-0.3518049944455088,-1.3548365571972397e-16,0.500258492564805,-0.3008055298927002
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,45,45,1.1948812784242822,0.8340588080317307,-0.07880332693628943,1.0646646303065738e-16,0.4963268981326054,-0.3042321878411277
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,46,46,0.1764090630632619,0.5494108378974968,-0.26010277776464963,2.613650037138389e-16,0.49920213015416326,-0.3017235701360793
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,47,47,-1.0474876747005661,0.20611493073797582,-0.685890547268585,1.8577311406369807e-16,0.502669765580017,-0.2987172357917041
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,48,48,0.29338792149015475,0.5823491649266938,-0.23481654295909576,-5.34084561088617e-17,0.498869419780131,-0.30201311708264034
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,49,49,-1.2051022660881414,0.16253033488425028,-0.7890655698030735,-8.726184757943939e-18,0.5031100140229839,-0.2983370382861755
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,50,50,-1.4636146011997544,0.09158681905737448,-1.038167024394924,1.6108396883489684e-16,0.5038266151929524,-0.2977188941500839
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,51,51,0.4807886859107315,0.6350403544900285,-0.19719867600648178,-1.1620895043109277e-16,0.4983371855421175,-0.3024767048955648
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,52,52,0.7831751665440617,0.7197393276982498,-0.1428247661249377,-2.122320276871827e-16,0.4974816403581961,-0.30322294233183333
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,53,53,-0.5149688656965655,0.3547713823291177,-0.450051419837517,-2.9686550636362693e-16,0.5011681852609146,-0.30001650632149746
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,54,54,-0.6937433391016988,0.3046671497587682,-0.5161743703510359,-3.223431622633267e-16,0.501674288620211,-0.2995781564896945
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,55,55,-0.7761785216676166,0.28162300804199975,-0.550331867081436,1.1459688417058908e-17,0.5019070577284612,-0.2993766973026517
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,56,56,-0.05535966257038489,0.4841033877284733,-0.3150618781799445,-5.3268276434035285e-18,0.4998618013679918,-0.30115005006267476
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,57,57,-0.43479208656194673,0.3772898405573321,-0.42332488907224536,1.4438506507120092e-17,0.5009407260868922,-0.30021365907548253
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,58,58,0.9329234063387964,0.7614773949091278,-0.11834298453009769,-9.742487400435401e-18,0.49706004371970236,-0.30359114631480477
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,59,59,-0.2544950090792395,0.42800744817427155,-0.3685486733400029,1.2213154169250854e-16,0.5004284270200544,-0.3006580280208059
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,60,60,-0.10205279525323133,0.470945917785041,-0.3270289632662255,-4.839703273381759e-17,0.49999470510479416,-0.30103459477587335
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,61,61,-1.1777618989646321,0.17007400374680687,-0.7693620643540573,-2.4846847362980934e-17,0.5030338153476046,-0.29840281946644587
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,62,62,1.7172793524434748,0.9766738075758834,-0.010250459028217264,-1.558097085695532e-16,0.4948863425816543,-0.30549453128334303
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,63,63,-1.1176936716011365,0.18667287828267143,-0.7289187761473672,-3.2181748848272764e-16,0.5028661499482524,-0.29854759759733623
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,64,64,0.8206872167376837,0.7302095284851831,-0.13655250425189483,-2.3753445899334946e-16,0.4973758807542877,-0.3033152787952645
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,65,65,0.9618919394504588,0.7695324005819687,-0.11377308980557256,-3.1456319031046104e-16,0.4969786800260373,-0.30366224174080947
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,66,66,-1.6212470570776811,0.048704526775743884,-1.3124306720017493,-3.871061720331275e-16,0.5042597696604436,-0.297345678898997
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,67,67,-1.2959406732491296,0.13752009180729324,-0.8616338463894482,-4.8712437002177005e-18,0.503362642740933,-0.2981190189296786
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,68,68,1.3647080539918055,0.8807644720906455,-0.05514021207238312,-1.7305180857320147e-16,0.49585512374817187,-0.3046451947749072
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,69,69,-0.39880154494197145,0.3874060519865102,-0.4118335990949254,7.93416959517473e-17,0.5008385421330621,-0.3003022572903772
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,70,70,-0.33870578302034093,0.40430725382529115,-0.39328846675923657,3.5044918706602163e-19,0.5006678229225694,-0.30045031907885295
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,71,71,1.2306456030294666,0.8439193028408624,-0.0736990794483539,-1.2265721547310758e-17,0.49622729717493735,-0.30431934911989156
